Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,50+
AD Russell (DC/KKR),2012-2025,135,111,20,2539,88*,27.9,1466,173.19,-,11,11
DP Conway (CSK),2022-2025,26,25,3,1018,92*,46.27,728,139.83,-,10,10
RM Patidar (RCB),2021-2025,36,32,1,1021,112*,32.93,652,156.59,1,9,10
CA Lynn (DCH/KKR/MI),2012-2021,42,42,3,1329,93*,34.07,945,140.63,-,10,10
KC Sangakkara (DCH/KXIP/SRH),2008-2013,71,68,3,1687,94,25.95,1392,121.19,-,10,10
S Dube (CSK/RCB/RR),2019-2025,74*,70,13,1744,95*,30.59,1205,144.73,-,10,10
MP Stoinis (DC/KXIP/LSG/PBKS/RCB),2016-2025,103,94,24,1933,124*,27.61,1358,142.34,1,9,10
HH Pandya (GT/MI),2015-2025,145,133,41,2629,91,28.57,1795,146.46,-,10,10
TM Dilshan (DC/RCB),2008-2013,52,50,7,1153,76*,26.81,1007,114.49,-,9,9
AK Markram (LSG/PBKS/SRH),2021-2025,53,51,9,1321,68*,31.45,983,134.38,-,9,9
PD Salt (DC/KKR/RCB),2023-2025,30,30,2,892,89*,31.85,514,173.54,-,8,8
ML Hayden (CSK),2008-2010,32,32,2,1107,93,36.9,805,137.51,-,8,8
TM Head (RCB/SRH),2016-2025,34*,34,4,1033,102,34.43,608,169.9,1,7,8
H Klaasen (RCB/RR/SRH),2018-2025,44*,41,8,1275,104,38.63,770,165.58,1,7,8
NT Tilak Varma (MI),2022-2025,47,45,11,1389,84*,40.85,955,145.44,-,8,8
Abhishek Sharma (DC/SRH),2018-2025,72*,70,7,1617,141,25.66,1020,158.52,1,7,8
SS Tiwary (DC/MI/RCB/RPS),2008-2021,93,74,22,1494,61,28.73,1244,120.09,-,8,8
DJ Hooda (CSK/KXIP/LSG/PBKS/RR/SRH),2015-2025,122*,100,16,1494,64,17.78,1170,127.69,-,8,8
SP Narine (KKR),2012-2025,184,117,20,1681,109,17.32,1008,166.76,1,7,8
MR Marsh (DC/DCH/LSG/PWI/RPS/SRH),2010-2025,50,44,2,1009,89,24.02,735,137.27,-,7,7
LS Livingstone (PBKS/RCB/RR),2019-2025,46,45,7,1026,94,27,646,158.82,-,7,7
SC Ganguly (KKR/PWI),2008-2012,59,56,3,1349,91,25.45,1263,106.8,-,7,7
V Shankar (CSK/DC/GT/SRH),2014-2025,78,65,18,1233,69*,26.23,950,129.78,-,7,7
MK Tiwary (DC/KKR/KXIP/RPS),2008-2018,98,85,26,1695,75*,28.72,1449,116.97,-,7,7
HH Gibbs (DCH/MI),2008-2012,36,36,4,886,69*,27.68,807,109.78,-,6,6
A Symonds (DCH/MI),2008-2011,39,36,9,974,117*,36.07,750,129.86,1,5,6
CL White (DCH/RCB/SRH),2008-2013,47,45,9,954,78,26.5,755,126.35,-,6,6
MM Ali (CSK/KKR/RCB),2018-2025,71,59,6,1167,93,22.01,835,139.76,-,6,6
BJ Hodge (KKR/Kochi/RR),2008-2014,66,63,21,1400,73,33.33,1118,125.22,-,6,6
R Parag (RR),2019-2025,79,67,11,1407,84*,25.12,1021,137.8,-,6,6
NV Ojha (DC/RR/SRH),2009-2018,113,94,19,1554,94*,20.72,1313,118.35,-,6,6
Mandeep Singh (DC/KKR/KXIP/PBKS/RCB),2010-2023,111,98,16,1706,77*,20.8,1388,122.91,-,6,6
HM Amla (KXIP),2016-2017,16,16,3,577,104*,44.38,407,141.76,2,3,5
ST Jayasuriya (MI),2008-2010,30,30,2,768,114*,27.42,532,144.36,1,4,5
KP Pietersen (DC/RCB/RPS),2009-2016,36,36,9,1001,103*,37.07,743,134.72,1,4,5
Prabhsimran Singh (KXIP/PBKS),2019-2025,42,42,-,965,103,22.97,641,150.54,1,4,5
A Badoni (LSG),2022-2025,51,43,10,851,59*,25.78,628,135.5,-,5,5
SM Curran (CSK/KXIP/PBKS),2019-2025,62*,51,13,904,63*,23.78,679,133.13,-,5,5
MC Henriques (DC/KKR/PBKS/RCB/SRH),2009-2021,62,54,18,1000,74*,27.77,788,126.9,-,5,5
