Team 1,Team 2,Winner,Margin
DC,MI,MI,5 wickets
DC,SRH,DC,17 runs
RCB,SRH,SRH,6 wickets
DC,MI,MI,57 runs
SRH,MI,SRH,10 wickets
DC,RCB,DC,6 wickets
KKR,RR,KKR,60 runs
CSK,Kings XI,CSK,9 wickets
RCB,SRH,SRH,5 wickets
DC,MI,MI,9 wickets
Kings XI,RR,RR,7 wickets
CSK,KKR,CSK,6 wickets
MI,RCB,MI,5 wickets
SRH,DC,SRH,88 runs
KKR,Kings XI,Kings XI,8 wickets
RR,MI,RR,8 wickets
RCB,CSK,CSK,8 wickets
Kings XI,SRH,Kings XI,12 runs
KKR,DC,KKR,59 runs
CSK,MI,MI,10 wickets
RR,SRH,SRH,8 wickets
KKR,RCB,RCB,8 wickets
Kings XI,DC,Kings XI,5 wickets
CSK,RR,RR,7 wickets
MI,Kings XI,tied,-
SRH,KKR,tied,-
DC,CSK,DC,5 wickets
RR,RCB,RCB,7 wickets
MI,KKR,MI,8 wickets
RCB,Kings XI,Kings XI,8 wickets
DC,RR,DC,13 runs
SRH,CSK,CSK,20 runs
RCB,KKR,RCB,82 runs
MI,DC,MI,5 wickets
SRH,RR,RR,5 wickets
CSK,RCB,RCB,37 runs
Kings XI,KKR,KKR,2 runs
RR,DC,DC,46 runs
SRH,Kings XI,SRH,69 runs
KKR,CSK,KKR,10 runs
MI,RR,MI,57 runs
RCB,DC,DC,59 runs
Kings XI,CSK,CSK,10 wickets
MI,SRH,MI,34 runs
DC,KKR,DC,18 runs
RCB,RR,RCB,8 wickets
CSK,SRH,SRH,7 runs
Kings XI,MI,MI,48 runs
RR,KKR,KKR,37 runs
DC,SRH,SRH,15 runs
RCB,MI,tied,-
RR,Kings XI,RR,4 wickets
KKR,SRH,KKR,7 wickets
CSK,DC,DC,44 runs
Kings XI,RCB,Kings XI,97 runs
KKR,MI,MI,49 runs
RR,CSK,RR,16 runs
SRH,RCB,RCB,10 runs
DC,Kings XI,tied,-
MI,CSK,CSK,5 wickets
